지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
244,임실,2017,11.6,-14.9,20171214,36.5,20170806,5.6,18.6
244,임실,2018,12,-20,20180112,37.5,20180815,6,18.8
244,임실,2019,12.2,-12.4,20190127,35.3,20190805,6.4,19.1
244,임실,2020,12,-13.2,20201231,32.7,20200819,6.9,18
245,정읍,2017,13.1,-10.9,20171214,35.8,20170805,8.1,18.8
245,정읍,2018,13.1,-14.7,20180207,38.4,20180802,8.4,18.7
245,정읍,2019,13.3,-8,20190127,34.7,20190810,8.5,18.8
245,정읍,2020,13.2,-10.9,20201231,34,20200825,8.8,18.5
247,남원,2017,12.7,-13.1,20170123,37,20170806,7.2,19.2
247,남원,2018,13,-16.4,20180112,37.5,20180728,7.7,19.2
247,남원,2019,13.3,-10.1,20190127,35.4,20190803,8,19.6
247,남원,2020,13.1,-12.3,20201231,34.7,20200820,8.1,19.1
248,장수,2017,10.8,-16.6,20170125,35.3,20170806,4.8,17.5
248,장수,2018,11.1,-19.4,20180111,36.5,20180814,5.2,17.7
248,장수,2019,11.4,-13.6,20190127,33.9,20190802,5.6,18
248,장수,2020,11.2,-13.1,20201231,33.2,20200820,6,17.3
251,고창군,2017,13.5,-10,20171214,36.2,20170805,8.3,19.4
251,고창군,2018,12.8,-15.6,20180207,37.7,20180802,7.9,18.7
251,고창군,2019,13.2,-8.3,20190116,34.5,20190803,8.3,18.9
251,고창군,2020,13.3,-11,20201231,33.7,20200825,8.7,18.7
252,영광군,2017,12.9,-9.9,20171214,35.8,20170805,8,18.6
252,영광군,2018,13.1,-15.2,20180127,37.6,20180802,8.4,18.7
252,영광군,2019,13.3,-8.9,20190127,34.9,20190806,8.6,18.6
252,영광군,2020,13.3,-9.9,20201231,34.5,20200825,9,18.4
253,김해시,2017,14.6,-8.4,20171212,38,20170807,10.1,20.2
253,김해시,2018,14.8,-12.4,20180207,38.5,20180805,10.5,20.3
253,김해시,2019,15.5,-5.2,20190201,36.6,20190805,11.2,21.1
253,김해시,2020,14.8,-8.9,20201231,35.8,20200820,10.6,20.2
